Code,Description,Old_Rate,Revised_Rate
01-02-030,Deluxe Ward,9441.0,11320.0
01-02-030,Deluxe Ward - VIP,11322.0,13580.0
01-02-030,General Ward - Gynae,1958.0,2340.0
01-02-030,General Ward - Gynae (Day Care),1958.0,2340.0
01-02-030,General Ward - Peads,1958.0,2340.0
01-02-030,General Ward (Female) - Medical,1958.0,2340.0
01-02-030,General Ward (Female) - Special,1958.0,2340.0
01-02-030,General Ward (Female) - Surgical,1958.0,2340.0
01-02-030,General Ward (Male) - Medical,1958.0,2340.0
01-02-030,General Ward (Male) - Special,1958.0,2340.0
01-02-030,General Ward (Male) - Surgical,1958.0,2340.0
01-02-030,ICU,11901.0,14280.0
01-02-030,Isolation - Gynae,1958.0,2340.0
01-02-030,Isolation - Medical,1958.0,2340.0
01-02-030,Isolation - Peads (For Attendent),1958.0,2340.0
01-02-030,Isolation - Special,1958.0,2340.0
01-02-030,Isolation - Surgical,1958.0,2340.0
01-02-030,Labour Room,1958.0,2340.0
01-02-030,NICU,6556.0,7860.0
01-02-030,PICU,4560.0,5470.0
01-02-030,Private Room - Gynae,6234.0,7480.0
01-02-030,Private Room - Medical,6234.0,7480.0
01-02-030,Private Room - Special,6234.0,7480.0
01-02-030,Private Room - Surgical,6234.0,7480.0
01-02-030,Semi Private Room - Gynae,3400.0,4080.0
01-02-030,Semi Private Room - Medical,3400.0,4080.0
01-02-030,Semi Private Room - Peads,3400.0,4080.0
01-02-030,Semi Private Room - Special,3400.0,4080.0
01-02-030,Semi Private Room - Surgical,3400.0,4080.0
07-12-011,Yankauer Tip with Suction Tube,150.0,180.0
15-01-001,PURE TONE AUDIOMETRY,1236.0,1480.0
07-08-010,PICU Ventilator Charges,10755.0,12900.0
07-08-001,ICU with Ventilator,17233.0,20670.0
07-01-011,SVD+EPI (Consultant),29431.0,35310.0
07-01-001,C-Section (Booked),47540.0,57040.0
07-06-007,Visit Consultant (General),824.0,980.0
04-01-042,Second Opinion Reporting-CT Scan (Contrast),2808.0,3360.0
07-02-004,Minor G/A-ENT,27177.0,32610.0
07-02-005,Minor L/A-ENT,15855.0,19020.0
07-05-001,Extra Major G/A - Neuro,166358.0,199620.0
07-06-010,Visit Consultant (Deluxe),1043.0,1250.0
07-01-005,Extra Major G/A - Gynae,76958.0,92340.0
07-12-003,Flow Sensor,9000.0,10800.0
07-12-018,Surgi Silk 2/0,4300.0,5160.0
07-08-004,NICU with Ventilator (Subsequent Day),18702.0,22440.0
07-06-009,Visit Consultant (S.Pvt./Pvt.),927.0,1110.0
07-06-002,Cross Referral Visit (General),824.0,980.0
07-06-001,Cross Referral Visit (Deluxe),1043.0,1250.0
07-01-002,C-Section,52061.0,62470.0
13-01-078,REMOVAL OF POLYP,7260.0,8710.0
13-01-080,SIGMIDOSCOPY,10471.0,12560.0
10-01-048,ROOT CANAL TREATMENT (PER VISIT),1481.0,1770.0
07-12-017,Surgi Silk 1/0,5000.0,6000.0
07-12-016,Surgi Silk 00/1,4200.0,5040.0
07-12-006,HME/HIMV Filter,675.0,810.0
07-12-026,Implant Charges,1.0,1.0
07-12-005,Vent Circuit,2500.0,3000.0
02-01-034,U/S GUIDED BIOPSY. (LIVER/MASS),8269.0,9920.0
13-01-004,CIRCUMCISION-Private (Less Than 6 Months),7148.0,8570.0
13-01-005,CIRCUMCISION-Private (More Than 12 Months),11901.0,14280.0
03-01-138,PNSAP/LAT VIEW,1945.0,2330.0
01-01-002,OPD CONSULTANCY,966.0,1150.0
07-03-002,Major G/A-Ortho,65649.0,78770.0
07-03-001,Extra Major G/A-Ortho,88267.0,105920.0
07-03-004,Minor G/A-Ortho,33952.0,40740.0
07-04-002,Major G/A-General,58862.0,70630.0
07-02-003,Medium G/A-ENT,40752.0,48900.0
07-04-001,Extra Major G/A - General,81492.0,97790.0
07-03-003,Medium G/A - Ortho,52061.0,62470.0
07-04-004,Minor G/A-General,27177.0,32610.0
07-02-001,Extra Major G/A-ENT,74704.0,89640.0
07-03-005,Minor L/A-Ortho,18122.0,21740.0
07-08-011,Step Down,4212.0,5050.0
07-01-012,SVD+EPI (RMO),15855.0,19020.0
03-01-177,SUB MENTO VERTEX,966.0,1150.0
07-01-009,Minor L/A-Gynae,15855.0,19020.0
07-12-001,URO Meter,1500.0,1800.0
13-01-039,ENDOSCOPY + DILATION,17550.0,21060.0
13-01-087,VACCINATION (MISSING CARD),258.0,300.0
07-01-006,Major G/A-Gynae,67903.0,81480.0
13-01-007,WORKUP FEES GASTROENTEROLOGY,361.0,430.0
13-01-020,Caudal Injection (Under C-Arm),11231.0,13470.0
07-12-024,Flow Sensor (NICU),17550.0,21060.0
07-01-003,C-Section With Complications,56582.0,67890.0
04-01-038-,PNS Full Study With Contrast,20376.0,24450.0
04-01-043,Second Opinion Reporting CT Scan (Plain),1880.0,2250.0
04-01-041,S.1 Joint Plain,8179.0,9810.0
13-01-027,COLONOSCOPY,18354.0,22020.0
07-12-021,Surgi Silk 5/0,4700.0,5640.0
10-01-002,CAST METAL DENTURE,33514.0,40210.0
